Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,Name,Commentary,Commentary_Text,Stage,label,date,rs_1m_pct
11,ADI,8,Technology,Semiconductors,Nasdaq 100,1.3837680021703442,91,1.2556319276984658,47,60,23.24,355.0299987792969,0.03241576469465151,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",88,False,"Analog Devices, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,87
15,BKR,8,Energy,Oil & Gas Equipment & Services,Nasdaq 100,1.2836523430195448,87,1.1164212306080703,67,66,18.08,62.209999084472656,0.02768608111528024,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",58,True,Baker Hughes Company,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,76
16,MCHP,8,Technology,Semiconductors,Nasdaq 100,1.2542384470705064,86,1.1790357632943431,14,40,28.44,77.7300033569336,0.04326330353091437,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",74,False,Microchip Technology Incorporated,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,82
35,NVDA,8,Technology,Semiconductors,Nasdaq 100,1.0676396832554573,67,1.0872762165359693,70,89,24.36,189.82000732421875,0.0368619906580946,7,False,False,True,False,True,Weekly Analysis,"{'c': True, 'a': True, 'n': False, 's': True, 'l': False, 'i': False, 'm': True}",3,False,NVIDIA Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,Tech Giants Watch,2026-02-21,71
12,GOOGL,7,Communication Services,Internet Content & Information,Nasdaq 100,1.3160814174951934,90,1.4432540122467046,95,80,22.33,314.9800109863281,0.034467037574505505,3,False,False,True,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",60,False,Alphabet Inc.,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,91
13,GOOG,7,Communication Services,Internet Content & Information,Nasdaq 100,1.3081162300175144,89,1.4338154041507611,94,78,21.89,314.8999938964844,0.03386561724111536,3,False,False,True,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",60,False,Alphabet Inc.,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,90
14,INSM,7,Healthcare,Biotechnology,Nasdaq 100,1.302420976701217,88,1.3750346466945764,100,99,29.22,164.91000366210938,0.03925085040481122,5,True,True,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",74,True,Insmed Incorporated,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,89
17,ODFL,7,Industrials,Trucking,Nasdaq 100,1.240824424423911,85,1.030569398143416,11,3,28.89,201.38999938964844,0.042877004729994075,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",59,False,"Old Dominion Freight Line, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,67
40,TSLA,7,Consumer Cyclical,Auto Manufacturers,Nasdaq 100,1.0362516394995411,63,1.1297152985646046,66,62,24.41,411.82000732421875,0.03674456122531704,3,True,False,True,False,True,Weekly Analysis,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': False, 'm': True}",58,False,"Tesla, Inc.",Sideways,"Weakening, slipped below MA50 but holding MA200.",2,Tech Giants Watch,2026-02-21,77
47,AAPL,7,Technology,Consumer Electronics,Nasdaq 100,1.0033715512190955,56,0.9666053225796769,75,48,18.32,264.5799865722656,0.02703641244870787,4,False,False,True,False,True,Weekly Analysis,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': False, 'm': True}",67,False,Apple Inc.,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,Tech Giants Watch,2026-02-21,56
