Rank,Ticker,Minervini,Sector,Industry,Exchange,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Relative Strength
91,GRBK,8,Consumer Cyclical,Residential Construction,NYSE,94,,98,98,1.403367424366971
93,ATI,8,Industrials,Metal Fabrication,NYSE,94,,91,82,1.4008987002560795
94,KDNY,8,Healthcare,Biotechnology,NASDAQ,94,,96,55,1.3829222445803089
95,NATI,8,Technology,Software—Application,NASDAQ,94,,89,94,1.3821777477981476
96,AMKR,8,Technology,Semiconductors,NASDAQ,94,,86,34,1.3800682854366828
102,BIDU,8,Communication Services,Internet Content & Information,NASDAQ,93,,37,58,1.3594758380480834
106,WWE,8,Communication Services,Entertainment,NYSE,93,,88,95,1.3552751698040606
107,COTY,8,Consumer Defensive,Household & Personal Products,NYSE,93,,87,96,1.3542282512182946
108,DECK,8,Consumer Cyclical,Footwear & Accessories,NYSE,93,,91,95,1.353022790066006
109,CMC,8,Basic Materials,Steel,NYSE,93,,79,45,1.3525566802490991
110,TPX,8,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,93,,83,79,1.3491786176664085
112,TBBK,8,Financial Services,Banks—Regional,NASDAQ,93,,82,72,1.3471460856764021
113,SCCO,8,Basic Materials,Copper,NYSE,93,,73,94,1.3457634761274426
118,MHO,8,Consumer Cyclical,Residential Construction,NYSE,92,,95,94,1.3349381032115843
121,MTH,8,Consumer Cyclical,Residential Construction,NYSE,92,,92,94,1.3303590000975043
124,JBL,8,Technology,Electronic Components,NYSE,92,,95,78,1.3207353260129624
126,ALGN,8,Healthcare,Medical Devices,NASDAQ,92,,81,79,1.312618823157391
130,FTAI,8,Industrials,Rental & Leasing Services,NASDAQ,91,,94,96,1.3081458662509924
131,FSS,8,Industrials,Pollution & Treatment Controls,NYSE,91,,89,84,1.3080856999529185
132,IDCC,8,Communication Services,Telecom Services,NASDAQ,91,,94,94,1.3048312290386392
133,FLEX,8,Technology,Electronic Components,NASDAQ,91,,90,58,1.3041135871851202
134,STRL,8,Industrials,Engineering & Construction,NASDAQ,91,,98,95,1.3038985352820394
135,MEDP,8,Healthcare,Diagnostics & Research,NASDAQ,91,,83,71,1.3022739078504983
138,TEX,8,Industrials,Farm & Heavy Construction Machinery,NYSE,91,,95,82,1.3006804234369937
140,CARS,8,Consumer Cyclical,Auto & Truck Dealerships,NYSE,91,,87,89,1.2997098784984038
141,AZEK,8,Industrials,Building Products & Equipment,NYSE,91,,91,86,1.2931386890348762
142,ANF,8,Consumer Cyclical,Apparel Retail,NYSE,91,,95,36,1.2929563643207915
144,RCL,8,Consumer Cyclical,Travel Services,NYSE,91,,98,92,1.291956337017948
145,FOLD,8,Healthcare,Biotechnology,NASDAQ,91,,53,83,1.2895695234711533
147,ON,8,Technology,Semiconductors,NASDAQ,90,,90,86,1.2892389743320265
148,ACCD,8,Healthcare,Health Information Services,NASDAQ,90,,57,88,1.28907150687238
149,STM,8,Technology,Semiconductors,NYSE,90,,79,68,1.2890337700407213
150,CHX,8,Energy,Oil & Gas Equipment & Services,NASDAQ,90,,84,65,1.2878267747809566
151,PHM,8,Consumer Cyclical,Residential Construction,NYSE,90,,94,96,1.286580894885634
156,TMHC,8,Consumer Cyclical,Residential Construction,NYSE,90,,94,95,1.2798301154753249
158,CIR,8,Industrials,Specialty Industrial Machinery,NYSE,90,,99,91,1.2770830137711804
164,AEL,8,Financial Services,Insuranceâ€”Life,NYSE,89,,87,40,1.27183014301632
165,DHI,8,Consumer Cyclical,Residential Construction,NYSE,89,,89,93,1.2706352622577706
168,GVA,8,Industrials,Engineering & Construction,NYSE,89,,68,56,1.2683319102157096
170,RDFN,8,Real Estate,Real Estate Services,NASDAQ,89,,97,79,1.2664896179267733
171,NUE,8,Basic Materials,Steel,NYSE,89,,79,45,1.265920136978537
172,CLH,8,Industrials,Waste Management,NYSE,89,,89,83,1.2639588551586511
174,BBIO,8,Healthcare,Biotechnology,NASDAQ,89,,94,94,1.2591444743268903
175,RACE,8,Consumer Cyclical,Auto Manufacturers,NYSE,89,,90,93,1.2582284128687213
178,ACGL,8,Financial Services,Insuranceâ€”Diversified,NASDAQ,88,,82,94,1.2560727174157196
181,TKR,8,Industrials,Tools & Accessories,NYSE,88,,86,69,1.2542188089854456
187,SNDR,8,Industrials,Trucking,NYSE,88,,67,61,1.24801005922052
188,BA,8,Industrials,Aerospace & Defense,NYSE,88,,76,78,1.2468095508565213
190,NVDA,8,Technology,Semiconductors,NASDAQ,88,,99,97,1.2459650751596156
193,ING,8,Financial Services,Banks—Diversified,NYSE,88,,80,83,1.2451936267202002
194,GE,8,Industrials,Specialty Industrial Machinery,NYSE,87,,95,96,1.2451711501467282
195,ARCB,8,Industrials,Trucking,NASDAQ,87,,72,66,1.2451387815131723
197,IBKR,8,Financial Services,Capital Markets,NASDAQ,87,,71,66,1.244233315861931
199,CAH,8,Healthcare,Medical Distribution,NYSE,87,,87,88,1.2428711243917407
204,XPO,8,Industrials,Integrated Freight & Logistics,NYSE,87,,97,92,1.2392816744720272
209,PFSI,8,Financial Services,Mortgage Finance,NYSE,87,,81,64,1.2342760780819797
211,NVT,8,Industrials,Electrical Equipment & Parts,NYSE,86,,87,77,1.2334898045181748
212,RVMD,8,Healthcare,Biotechnology,NASDAQ,86,,78,61,1.2330554624002665
213,TOL,8,Consumer Cyclical,Residential Construction,NYSE,86,,93,90,1.2330455393799875
214,BLDR,8,Industrials,Building Products & Equipment,NYSE,86,,97,97,1.2317924340311392
215,UBER,8,Technology,Software—Application,NYSE,86,,94,87,1.230973055779283
218,FLYW,8,Technology,Information Technology Services,NASDAQ,86,,68,80,1.2292954273714383
220,LECO,8,Industrials,Tools & Accessories,NASDAQ,86,,86,77,1.2276707723628952
221,ACM,8,Industrials,Engineering & Construction,NYSE,86,,57,67,1.2275027102776812
223,STVN,8,Healthcare,Medical Instruments & Supplies,NYSE,86,,95,97,1.226678886044351
227,PAG,8,Consumer Cyclical,Auto & Truck Dealerships,NYSE,85,,88,80,1.224544655754768
228,PVH,8,Consumer Cyclical,Apparel Manufacturing,NYSE,85,,76,85,1.2242233176331334
233,CLB,8,Energy,Oil & Gas Equipment & Services,NYSE,85,,58,50,1.2233378130355979
237,UBS,8,Financial Services,Banks—Diversified,NYSE,85,,57,74,1.2200030517791536
238,IDXX,8,Healthcare,Diagnostics & Research,NASDAQ,85,,69,80,1.219819418469862
239,RS,8,Basic Materials,Steel,NYSE,85,,83,82,1.2192734423721603
20,MLCO,7,Consumer Cyclical,Resorts & Casinos,NASDAQ,98,,83,98,1.9950133738722622
25,PDD,7,Consumer Cyclical,Internet Retail,NASDAQ,98,,29,64,1.7714437928151165
30,INSW,7,Industrials,Marine Shipping,NYSE,98,,83,90,1.7263121603620513
33,FSLR,7,Technology,Solar,NASDAQ,98,,89,96,1.6881505603881055
40,ALGM,7,Technology,Semiconductors,NASDAQ,97,,93,88,1.6091221104805618
55,AXSM,7,Healthcare,Biotechnology,NASDAQ,96,,85,95,1.539615519924258
58,NSSC,7,Industrials,Security & Protection Services,NASDAQ,96,,68,66,1.5254020226773064
61,TGLS,7,Industrials,Building Products & Equipment,NYSE,96,,96,98,1.4956946655758743
65,RMBS,7,Technology,Semiconductors,NASDAQ,96,,97,96,1.4857711069030395
66,VAL,7,Energy,Oil & Gas Equipment & Services,NYSE,95,,62,33,1.479741944266647
68,CELH,7,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,95,,95,91,1.476119369014666
72,PRTA,7,Healthcare,Biotechnology,NASDAQ,95,,92,98,1.4565909337951308
78,TCOM,7,Consumer Cyclical,Travel Services,NASDAQ,95,,48,80,1.4461582700292512
82,ASO,7,Consumer Cyclical,Specialty Retail,NASDAQ,94,,50,91,1.4370777946237208
88,PERI,7,Communication Services,Internet Content & Information,NASDAQ,94,,63,92,1.410986396627478
98,XPRO,7,Energy,Oil & Gas Equipment & Services,NYSE,93,,71,71,1.3754201336996321
105,EXAS,7,Healthcare,Diagnostics & Research,NASDAQ,93,,97,93,1.3579382292726605
119,PWSC,7,Technology,Software—Application,NYSE,92,,52,35,1.3334452819223261
120,AVDL,7,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,92,,99,99,1.3304659880532284
125,FIVE,7,Consumer Cyclical,Specialty Retail,NASDAQ,92,,67,85,1.3136619287460896
128,INSP,7,Healthcare,Medical Devices,NYSE,92,,91,90,1.3118605280668718
136,TPR,7,Consumer Cyclical,Luxury Goods,NYSE,91,,70,72,1.3020487347767538
139,FOCS,7,Financial Services,Capital Markets,NASDAQ,91,,81,88,1.3005300182909818
152,SLB,7,Energy,Oil & Gas Equipment & Services,NYSE,90,,59,55,1.285903623205719
153,PBF,7,Energy,Oil & Gas Refining & Marketing,NYSE,90,,59,29,1.2852574187312253
155,DKS,7,Consumer Cyclical,Specialty Retail,NYSE,90,,62,90,1.2799293704039925
157,PACB,7,Healthcare,Diagnostics & Research,NASDAQ,90,,95,97,1.277245185162526
162,TFII,7,Industrials,Trucking,NYSE,89,,55,65,1.272900163857851
169,NVO,7,Healthcare,Biotechnology,NYSE,89,,74,94,1.2669584872493627
173,MNDY,7,Technology,Software—Application,NASDAQ,89,,83,37,1.261646291090295
177,WMG,7,Communication Services,Entertainment,NASDAQ,89,,10,27,1.2569190909666625
184,NTNX,7,Technology,Software—Infrastructure,NASDAQ,88,,78,50,1.2507160920111793
185,ACVA,7,Technology,Softwareâ€”Application,NASDAQ,88,,97,95,1.2493558539587573
191,EAT,7,Consumer Cyclical,Restaurants,NYSE,88,,67,76,1.2459384841286738
198,ROST,7,Consumer Cyclical,Apparel Retail,NASDAQ,87,,62,63,1.2429149615605102
201,MPC,7,Energy,Oil & Gas Refining & Marketing,NYSE,87,,51,58,1.2415459523235173
207,R,7,Industrials,Rental & Leasing Services,NYSE,87,,41,51,1.235621034192603
208,SPOT,7,Communication Services,Internet Content & Information,NYSE,87,,93,93,1.234443337240121
210,TOST,7,Technology,Software—Infrastructure,NYSE,86,,86,39,1.2337806306376196
216,ODP,7,Consumer Cyclical,Specialty Retail,NASDAQ,86,,72,41,1.2303972310646134
222,BABA,7,Consumer Cyclical,Internet Retail,NYSE,86,,8,33,1.2268441441222855
229,HES,7,Energy,Oil & Gas E&P,NYSE,85,,48,74,1.2240979065679234
230,GWW,7,Industrials,Industrial Distribution,NYSE,85,,88,80,1.2237866505582935
235,MLI,7,Industrials,Metal Fabrication,NYSE,85,,87,83,1.2222019532639843
240,SHOP,7,Technology,Software—Application,NYSE,85,,96,95,1.2184972920782764
